iter	Logloss
0	0.6889794922
1	0.6854992676
2	0.6812518311
3	0.6774225616
4	0.6737687683
5	0.6701885986
6	0.6664862061
7	0.6629338074
8	0.65954422
9	0.6559593201
10	0.6525431824
11	0.6483472443
12	0.6444944763
13	0.6408892059
14	0.6368381882
15	0.6333507919
16	0.6303053284
17	0.6259340668
18	0.6228747177
19	0.619622879
20	0.616635704
21	0.6131720734
22	0.6097969818
23	0.6066117859
24	0.6032445526
25	0.5999372101
26	0.5971770477
27	0.5944708252
28	0.5915633774
29	0.5888308716
30	0.5860288239
31	0.5834166336
32	0.5803944778
33	0.577505722
34	0.5748318481
35	0.5718829346
36	0.5689045715
37	0.5657062149
38	0.562947464
39	0.5601980591
40	0.5574887848
41	0.5543001556
42	0.5514480591
43	0.5484896088
44	0.546001358
45	0.5431565857
46	0.5409262848
47	0.5382432556
48	0.535562973
49	0.5324719238
50	0.5299456024
51	0.5273878098
52	0.5251136398
53	0.5227366638
54	0.5203039551
55	0.5173521805
56	0.514455719
57	0.5120134735
58	0.509419899
59	0.5065641022
60	0.5044465256
61	0.5020709991
62	0.4996813965
63	0.4976855087
64	0.4954649734
65	0.4934331131
66	0.4908953094
67	0.4883695984
68	0.4864119339
69	0.484128952
70	0.4817888641
71	0.4798679733
72	0.4779519653
73	0.4757588959
74	0.4735717392
75	0.4715463257
76	0.4698967743
77	0.4676237488
78	0.4656184006
79	0.4633203888
80	0.4614252853
81	0.4595651245
82	0.4576805115
83	0.4556082535
84	0.4537903214
85	0.4520228577
86	0.4499829102
87	0.4481150436
88	0.4463607025
89	0.4443084335
90	0.4424835205
91	0.4405474091
92	0.4388303375
93	0.4372698593
94	0.4358555603
95	0.434174614
96	0.4320307922
97	0.4303013229
98	0.4286433792
99	0.4271426773
100	0.4255037689
101	0.4237427521
102	0.4220554352
103	0.4206517029
104	0.4189567566
105	0.4172954941
106	0.4155701447
107	0.4141320801
108	0.4124079895
109	0.4110622406
110	0.4092737198
111	0.4074642944
112	0.4059859467
113	0.4045621872
114	0.402926178
115	0.4015892792
116	0.4001738739
117	0.3987473297
118	0.3972010422
119	0.3958259201
120	0.3944026947
121	0.3931227875
122	0.3919778442
123	0.3905712128
124	0.3892465591
125	0.387965889
126	0.3866311646
127	0.3853536224
128	0.3840592194
129	0.3828974152
130	0.3814153671
131	0.3802838135
132	0.3789065552
133	0.3775933075
134	0.3762717438
135	0.3749996185
136	0.3738616943
137	0.3726847839
138	0.3714131927
139	0.3699791718
140	0.368864212
141	0.3678201294
142	0.3666707611
143	0.3653427887
144	0.3641392517
145	0.3628723907
146	0.3617066956
147	0.3603342819
148	0.3590254974
149	0.3580206299
150	0.3569324112
151	0.3556586456
152	0.3546350098
153	0.3535532379
154	0.3523975754
155	0.3511269379
156	0.350223732
157	0.3491126251
158	0.3477954865
159	0.3466235733
160	0.3455925751
161	0.3446682739
162	0.3436890411
163	0.3425057983
164	0.341574707
165	0.3405197144
166	0.3393104172
167	0.338466301
168	0.3376296997
169	0.3365679932
170	0.3354153442
171	0.3343943024
172	0.3334484482
173	0.3322832489
174	0.3312888718
175	0.3303595734
176	0.3295172119
177	0.3285468292
178	0.3276911926
179	0.326774826
180	0.3259552765
181	0.3250824356
182	0.3242983246
183	0.3235616684
184	0.3225332642
185	0.3214439392
186	0.320545845
187	0.3195556641
188	0.3188126183
189	0.3178251076
190	0.3167419624
191	0.3158560181
192	0.3149956512
193	0.3140923882
194	0.3131838799
195	0.3124082947
196	0.3116699982
197	0.3109088135
198	0.3102405739
199	0.3094617081
200	0.3088857269
201	0.3080714226
202	0.3074760437
203	0.3065786362
204	0.3057842445
205	0.3051177597
206	0.3041567612
207	0.3033088303
208	0.3025623322
209	0.3018784142
210	0.3012093544
211	0.3005976486
212	0.29968647
213	0.2990578461
214	0.298371048
215	0.2976697159
216	0.2971152496
217	0.2963514137
218	0.2955686951
219	0.2947820282
220	0.2940756416
221	0.2933323479
222	0.2927124786
223	0.2920222855
224	0.2913571548
225	0.2904589653
226	0.2897833443
227	0.2891976547
228	0.2886207962
229	0.2877721214
230	0.2872499466
231	0.2867174721
232	0.2860012054
233	0.2851739311
234	0.2843998718
235	0.283868103
236	0.2833161545
237	0.282690258
238	0.2819743919
239	0.2813695908
240	0.2808414841
241	0.280150528
242	0.2795851517
243	0.2790202713
244	0.2782629395
245	0.2775516891
246	0.27700737
247	0.2764767838
248	0.2760618973
249	0.2752945328
250	0.2746886444
251	0.2741526031
252	0.2734313202
253	0.272700901
254	0.2720690918
255	0.2716715431
256	0.2712284088
257	0.2707693481
258	0.2701533318
259	0.2696910477
260	0.2692555809
261	0.2688587952
262	0.2680319405
263	0.2676965714
264	0.2671424103
265	0.2665513611
266	0.2660041809
267	0.2655686188
268	0.2651292038
269	0.264733963
270	0.2642750168
271	0.2637341881
272	0.2632976532
273	0.2627592468
274	0.2623350716
275	0.261819191
276	0.2612202835
277	0.2606228638
278	0.2601758766
279	0.2595392799
280	0.2590999985
281	0.2584690666
282	0.258140831
283	0.2575920296
284	0.2572683334
285	0.2568072701
286	0.2562726974
287	0.2557045174
288	0.255234108
289	0.2546825218
290	0.2540929031
291	0.2536695862
292	0.2531739998
293	0.2529034805
294	0.2526033974
295	0.2521950531
296	0.2518162155
297	0.2514999008
298	0.2507974243
299	0.250328083
300	0.2499136925
301	0.2494335937
302	0.2489137268
303	0.2483155441
304	0.2478419304
305	0.2474686813
306	0.2470468712
307	0.2466578293
308	0.2461275864
309	0.2457346535
310	0.2450863838
311	0.2447402573
312	0.2441420937
313	0.2436886978
314	0.2432145309
315	0.2426769257
316	0.2422316742
317	0.241770668
318	0.2414823532
319	0.241063652
320	0.2405952835
321	0.2401032066
322	0.2397695541
323	0.2394085121
324	0.2388809204
325	0.2385115051
326	0.2382151794
327	0.2378572464
328	0.2375453377
329	0.2370633507
330	0.2366256142
331	0.236216011
332	0.2357105637
333	0.2353651047
334	0.2350866699
335	0.2347898483
336	0.2343643379
337	0.2340294647
338	0.2338259125
339	0.2332196808
340	0.2328864288
341	0.2325536919
342	0.2321897888
343	0.2317927551
344	0.2313215637
345	0.2308839417
346	0.2305284309
347	0.2302018738
348	0.2298918343
349	0.2295427704
350	0.2292139816
351	0.2290290451
352	0.2285393524
353	0.2281867981
354	0.227941246
355	0.2277597809
356	0.2273933029
357	0.2269869804
358	0.2267155075
359	0.2264160156
360	0.2261067009
361	0.2259109306
362	0.2255654526
363	0.2252712059
364	0.22493927
365	0.2245586967
366	0.2243358231
367	0.2240405464
368	0.2236875916
369	0.2232965851
370	0.2230642509
371	0.2226042175
372	0.2221267128
373	0.2217428207
374	0.2214407539
375	0.2211901474
376	0.2207792664
377	0.2203337288
378	0.2199676895
379	0.2197342682
380	0.2194776917
381	0.2190932083
382	0.2188194275
383	0.218572464
384	0.218435688
385	0.2182743263
386	0.2181198692
387	0.2176675987
388	0.2174485016
389	0.2171633911
390	0.2169081497
391	0.2166359901
392	0.2162693214
393	0.2159194183
394	0.2155421829
395	0.2151872253
396	0.2149947166
397	0.2146424294
398	0.2143164444
399	0.2138670158
400	0.2136380959
401	0.2132564926
402	0.2128083038
403	0.2124381256
404	0.2120370483
405	0.2117451859
406	0.2115244293
407	0.2109851074
408	0.2106894302
409	0.2102698517
410	0.2098553658
411	0.2094461823
412	0.2091116142
413	0.2087854767
414	0.2086509323
415	0.2083419228
416	0.2080409241
417	0.2077703094
418	0.2075876999
419	0.2074415398
420	0.2071311951
421	0.206871624
422	0.206681118
423	0.2064510345
424	0.2062977219
425	0.2059051514
426	0.20565979
427	0.2053752136
428	0.205160923
429	0.2049308777
430	0.2047759247
431	0.2045019913
432	0.2043177795
433	0.2040859985
434	0.2038544846
435	0.2036176682
436	0.203347168
437	0.2031814957
438	0.2029029274
439	0.2025505066
440	0.2023128319
441	0.2021030235
442	0.201872406
443	0.2014731598
444	0.2011634064
445	0.2009050941
446	0.2006313705
447	0.2003339577
448	0.2001068687
449	0.1998631668
450	0.1995148468
451	0.1992896271
452	0.1989997101
453	0.1986978149
454	0.1984236336
455	0.1981646347
456	0.197963295
457	0.1977047348
458	0.1973726273
459	0.1970769119
460	0.1967289925
461	0.1963754654
462	0.1961098862
463	0.1958431244
464	0.195561142
465	0.1954353523
466	0.1951911163
467	0.1950333405
468	0.1947253609
469	0.194528389
470	0.1942106438
471	0.1938651466
472	0.1936183929
473	0.1934040451
474	0.1930971527
475	0.1928564453
476	0.1927154922
477	0.1924149704
478	0.1922176361
479	0.1921137619
480	0.1918217278
481	0.1917137146
482	0.1913445663
483	0.1910746574
484	0.1908153152
485	0.1906965828
486	0.1905524826
487	0.1903974533
488	0.190087204
489	0.1898347473
490	0.1896952248
491	0.1895464897
492	0.1892203522
493	0.1889336014
494	0.1887659073
495	0.1885059929
496	0.1882646942
497	0.1880607986
498	0.1879925919
499	0.1877798843
500	0.1874918556
501	0.1872048569
502	0.1867700577
503	0.1866097069
504	0.1864242172
505	0.1862573242
506	0.1860213089
507	0.1858767319
508	0.1857703972
509	0.1855393982
510	0.1854370308
511	0.1852672577
512	0.1851619148
513	0.1850117874
514	0.1848422813
515	0.184630661
516	0.1844540787
517	0.1842681694
518	0.1841152191
519	0.1838605118
520	0.1836642075
521	0.1833911133
522	0.183231678
523	0.1830756569
524	0.1829156876
525	0.1827675056
526	0.1825018311
527	0.1824307442
528	0.1821729469
529	0.1818836021
530	0.1817284203
531	0.1815396118
532	0.1814229584
533	0.1813770294
534	0.1812332153
535	0.1809559441
536	0.1807338715
537	0.1806290436
538	0.1804493523
539	0.1802508163
540	0.1801090622
541	0.1799100113
542	0.1797886276
543	0.1794762802
544	0.1792468643
545	0.1790821075
546	0.1789064407
547	0.1787471771
548	0.1784289932
549	0.1781443405
550	0.1779208374
551	0.1778115654
552	0.1776686478
553	0.1774552536
554	0.1771911621
555	0.1770662689
556	0.176860733
557	0.1766751289
558	0.176466217
559	0.1762035561
560	0.1759630966
561	0.1757809448
562	0.1756879425
563	0.1754380035
564	0.1751721573
565	0.1750718307
566	0.1749312782
567	0.1748036957
568	0.174641304
569	0.1743996048
570	0.1742996597
571	0.1742069244
572	0.174036026
573	0.1738454056
574	0.1736746216
575	0.1735085487
576	0.1733663368
577	0.173218708
578	0.1729899979
579	0.1728482819
580	0.1726158905
581	0.17247118
582	0.1722990799
583	0.1721120644
584	0.1720466995
585	0.1719859123
586	0.1719042587
587	0.1718027306
588	0.171715889
589	0.1715154457
590	0.1713591003
591	0.171123848
592	0.170997715
593	0.1709101295
594	0.1708251953
595	0.1707055664
596	0.1704755592
597	0.1703079605
598	0.1701756668
599	0.1700513077
600	0.1698903656
601	0.1697824478
602	0.1696291733
603	0.1693967819
604	0.1692134094
605	0.1690376282
606	0.1688510895
607	0.1686801147
608	0.1684973145
609	0.1682424164
610	0.1680457497
611	0.1678804398
612	0.1676735306
613	0.1676099777
614	0.1673969269
615	0.1673086548
616	0.1671395874
617	0.1670757866
618	0.1669019127
619	0.1667527008
620	0.1665432739
621	0.1663467979
622	0.1662431717
623	0.166067276
624	0.1659465599
625	0.1657246017
626	0.165575943
627	0.1653768539
628	0.1652600479
629	0.1651556206
630	0.165004673
631	0.1647895241
632	0.1645832062
633	0.1644610596
634	0.1643419647
635	0.1642295074
636	0.1641558456
637	0.1639925957
638	0.1639138794
639	0.163749752
640	0.1635792923
641	0.1634797478
642	0.1632587433
643	0.1630456924
644	0.1628673172
645	0.1626612854
646	0.1626034355
647	0.1625590515
648	0.1624256134
649	0.1623194122
650	0.1621615219
651	0.1620111465
652	0.1618925476
653	0.1617652702
654	0.1615682983
655	0.1613572502
656	0.1611417961
657	0.1611193848
658	0.1610583115
659	0.1609811592
660	0.1607514572
661	0.1605579376
662	0.1603635025
663	0.1601783371
664	0.1599730968
665	0.1598222637
666	0.1596150208
667	0.1595156288
668	0.1594023895
669	0.1592582798
670	0.1590808392
671	0.1589975643
672	0.1588699245
673	0.1587346077
674	0.1586874771
675	0.158569479
676	0.1584182644
677	0.1582349396
678	0.158057251
679	0.1579921913
680	0.1578210449
681	0.1576746178
682	0.1575442696
683	0.1574549484
684	0.1572336483
685	0.1570961666
686	0.1569871044
687	0.156905508
688	0.156825552
689	0.1566933155
690	0.1565433025
691	0.1564318848
692	0.1563426971
693	0.1562122345
694	0.1560736942
695	0.1559882545
696	0.1557912254
697	0.1556203079
698	0.1555704308
699	0.1554919815
700	0.1553837872
701	0.1552053165
702	0.155068903
703	0.154893589
704	0.1547614384
705	0.1546390533
706	0.1545020294
707	0.1544722939
708	0.15434021
709	0.1542461109
710	0.1540189457
711	0.1538420486
712	0.153683815
713	0.1534940147
714	0.1533321571
715	0.1533000946
716	0.1531676006
717	0.1530402374
718	0.1530025864
719	0.1528665161
720	0.1526678085
721	0.1524763298
722	0.1523753262
723	0.1522793007
724	0.1521490574
725	0.152047863
726	0.1519167233
727	0.1518061447
728	0.1517412186
729	0.1516864109
730	0.1515282059
731	0.1513664246
